appid,english,required_age,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime
429200,1,0,24,24,16,0,0
429220,1,0,10,44,15,0,0
429270,1,0,15,7,1,0,0
429280,1,0,0,73,34,351,357
429300,1,0,11,713,85,97,97
429330,1,0,26,286,41,188,188
429350,1,0,10,35,5,0,0
429360,1,0,24,53,0,0,0
429390,1,0,19,40,22,0,0
429470,1,0,7,749,113,321,306
429480,1,0,5,3,3,0,0
429490,1,0,81,103,60,9,9
429520,1,0,0,12,2,0,0
429530,1,0,0,63,23,0,0
429540,1,0,44,543,110,0,0
429580,1,0,5,136,105,274,274
429600,1,0,17,133,81,0,0
429610,1,0,13,208,43,132,263
429620,1,0,25,609,252,863,1392
429660,1,0,51,7427,536,2398,2878
429680,1,0,20,905,321,77,123
429690,1,0,14,39,3,0,0
429700,1,0,8,261,138,232,282
429720,1,0,11,592,57,0,0
429780,1,0,57,429,167,94,129
429790,1,0,0,2699,1115,332,221
429830,1,0,0,134,15,0,0
429940,1,0,8,554,48,0,0
429950,1,0,10,18,47,275,294
430020,1,12,0,177,105,0,0
430070,1,0,20,164,38,0,0
430080,1,0,0,51,25,225,239
430100,1,0,0,8,3,0,0
430170,1,0,163,69,28,0,0
430190,1,0,56,19,3,0,0
430210,1,0,14,633,231,0,0
430230,1,0,34,14,4,0,0
430240,1,0,21,8,5,0,0
430280,1,0,0,5,3,0,0
430290,1,0,24,32,2,59,59
430300,1,0,8,7,4,0,0
430410,1,0,11,78,24,0,0
430890,1,0,7,21,2,0,0
430930,1,0,0,30,8,0,0
430960,1,0,0,5341,238,213,317
431030,1,0,0,0,1,0,0
431120,1,0,31,117,24,0,0
431180,1,0,110,959,121,0,0
431200,1,0,39,41,4,445,445
431220,0,0,38,92,85,0,0
431230,1,0,16,98,24,221,221
431240,1,0,39,15946,1723,323,295
431250,1,0,15,275,66,556,556
431260,1,0,12,410,106,0,0
431280,1,0,9,111,3,126,126
431290,1,0,21,26,11,0,0
431300,1,0,0,6,5,0,0
431330,1,0,0,11,15,0,0
431370,1,0,0,12,4,0,0
431390,1,0,0,20,7,0,0
431450,1,0,0,232,59,119,119
431460,1,0,0,45,15,0,0
431470,1,0,0,0,1,0,0
431500,1,0,0,175,173,1,1
431540,1,0,6,1103,125,22,27
431560,1,0,11,275,120,242,250
431590,1,0,21,304,35,912,912
431600,1,0,34,955,141,0,0
431610,1,0,0,6,2,0,0
431630,1,0,11,22,5,0,0
431640,1,0,14,53,65,263,271
431650,1,0,52,390,158,0,0
431680,1,0,11,14,17,190,190
431700,1,0,35,112,8,0,0
431710,1,0,7,310,52,330,347
431740,1,0,11,30,21,268,268
431750,1,0,12,76,26,320,338
431770,1,0,0,71,4,0,0
431810,1,0,19,132,58,5,5
431830,1,0,19,27,7,178,178
431840,1,0,30,84,61,0,0
431850,1,0,5,53,11,0,0
431860,1,0,22,26,8,0,0
431870,1,0,14,54,24,0,0
431910,1,0,9,171,43,0,0
431930,1,0,50,228,17,0,0
431960,1,0,17,63623,1947,1731,542
431990,1,0,0,126,145,183,203
432010,1,0,30,431,97,243,243
432020,1,18,14,2207,422,150,170
432100,1,0,17,472,117,368,457
432130,1,0,9,24,4,0,0
432170,1,0,0,36,28,389,409
432180,1,0,14,27,6,0,0
432190,1,0,20,87,12,0,0
432230,1,0,20,25,5,0,0
432240,1,0,0,53,28,0,0
432250,1,0,0,66,33,0,0
432260,1,0,48,54,17,9,9
432270,1,0,4,1,4,0,0
432280,1,0,24,42,12,219,235
432290,1,12,21,75,58,0,0
432310,1,0,0,24,21,0,0
432330,1,0,11,44,19,0,0
432350,1,0,102,1073,19,0,0
432370,1,0,0,49,6,0,0
432380,1,0,57,18,2,0,0
432390,1,0,0,2,0,0,0
432410,1,0,0,8,7,234,270
432420,1,0,8,9,9,0,0
432470,1,0,0,102,137,205,225
432480,1,0,41,19,2,0,0
432490,1,0,0,14,6,0,0
432500,1,0,0,50,55,0,0
432540,1,0,0,3,4,0,0
432620,1,0,0,10,2,0,0
432640,1,0,29,18,23,0,0
432720,1,0,30,53,19,0,0
432770,1,0,0,32,13,0,0
432780,1,0,0,13,10,0,0
432790,1,0,23,5,1,0,0
432870,1,0,10,39,11,0,0
432890,1,0,0,9,4,0,0
432940,1,0,37,67,10,0,0
432950,1,0,38,58,28,284,284
432980,1,0,12,149,9,0,0
432990,1,0,15,42,4,249,249
433000,1,0,22,366,19,0,0
433100,1,18,20,717,172,0,0
433110,1,0,41,16,11,0,0
433120,1,0,0,3,6,0,0
433130,1,0,0,4,5,0,0
433170,1,0,0,433,101,419,419
433190,1,0,47,57,33,0,0
433210,1,0,43,33,58,95,95
433280,1,0,0,250,68,134,134
433340,1,0,57,24205,965,1314,827
433350,1,0,48,1258,1182,85,112
433360,1,0,0,6,6,0,0
433380,1,0,12,48,24,0,0
433400,1,0,43,51,7,0,0
433450,1,0,34,43,23,0,0
433480,1,0,29,11,0,0,0
433490,1,0,18,25,4,0,0
433530,1,0,50,1379,348,0,0
433570,1,0,33,7,3,0,0
433580,1,0,0,13,3,0,0
433590,1,0,10,32,8,0,0
433600,1,0,15,162,32,0,0
433630,1,0,0,31,11,0,0
433650,1,0,0,16,17,0,0
433660,1,0,0,10,2,1,1
433670,1,0,30,63,116,0,0
433700,1,0,0,40,5,0,0
433750,1,0,0,60,41,0,0
433790,1,0,0,23,21,241,241
433830,1,0,86,4,2,0,0
433840,1,0,15,38,18,0,0
433850,1,0,0,111434,91664,3142,162
433890,1,0,16,33,4,0,0
433900,1,0,9,42,33,0,0
433910,1,0,16,1149,241,368,368
433920,1,0,0,116,5,0,0
433950,1,0,17,5221,145,125,156
434000,1,0,19,356,40,0,0
434020,1,0,27,242,47,0,0
434030,1,0,0,787,280,17954,17954
434050,1,18,27,806,177,55,55
434070,1,0,0,27,6,0,0
434090,1,0,0,18,28,0,0
434130,1,0,15,35,3,0,0
434140,1,0,1,1,1,0,0
434150,1,0,0,15,35,0,0
434160,1,0,38,47,10,0,0
434170,1,0,20,831,44,302,302
434210,1,0,4,559,53,222,229
434220,1,0,7,35,6,273,278
434230,1,0,70,17,3,0,0
434240,1,0,23,14,3,0,0
434250,1,0,12,1041,451,194,227
434260,1,0,50,1809,397,0,0
434270,1,0,0,5,3,0,0
434290,1,0,21,77,34,3,3
434300,1,0,5,7,15,0,0
434310,1,0,29,23,8,0,0
434360,1,0,12,48,32,0,0
434370,1,0,0,115,5,0,0
434380,1,0,0,184,299,16,18
434390,1,0,27,12,3,0,0
434410,1,0,12,208,9,25,25
434430,1,0,0,155,18,0,0
434460,1,0,21,1423,348,190,276
434480,1,0,0,41,35,0,0
434490,1,0,36,28,0,0,0
434500,1,0,0,38,28,367,424
434510,1,0,0,216,51,0,0
434520,1,0,0,232,83,88,88
434530,1,0,21,25,3,1,1
